epoch,timestamp,learning_rate,epoch_time,train_time,inference_time,avg_train_loss,avg_accuracy,avg_f1_score,avg_dice,avg_iou,avg_mae,avg_mae_std
1,2026-05-08T20:50:14.120103,2e-05,1226.6315321922302,989.058429479599,237.55756044387817,2.6704329763280334,0.6276406296396697,0.587258626072057,0.7792133061246277,0.5430243213971456,6.742478753445593,0.6728079419264045
2,2026-05-08T21:10:42.518917,1.999267584428687e-05,1226.2045073509216,987.428872346878,238.7675220966339,1.4403065736767173,0.7232560042406257,0.7001177404734094,0.815703674628674,0.6500623027483622,5.898708643092998,0.5908360313923561
3,2026-05-08T21:31:07.956268,1.9970714670464718e-05,1223.009774684906,984.3322517871857,238.6695008277893,1.1064232336855762,0.7314435517074762,0.7040527209905779,0.844327576518969,0.685110847155253,5.701136741662634,0.5354192705268289
4,2026-05-08T21:51:32.438011,1.9934150341071802e-05,1222.0567517280579,985.9931573867798,236.05535769462585,0.421124339880932,0.7672422694260141,0.7462072907442405,0.860879279577405,0.6723061601320902,5.544271494638707,0.5433250215137727
5,2026-05-08T22:11:57.201356,1.9883039235653808e-05,1222.3145201206207,984.6431889533997,237.66338777542114,0.3141065177305582,0.7873052803505236,0.7651299908891357,0.8652108422593884,0.7008668780326843,5.371555499749436,0.48013334190355234
6,2026-05-08T22:32:20.235303,1.981746016383069e-05,1220.5549266338348,984.4080486297607,236.13849186897278,0.20113354899509941,0.7877865019062686,0.7675290513047333,0.8660984894037796,0.7079141537348429,5.584462702162672,0.4837632151254456
7,2026-05-08T22:52:43.372666,1.9737514243777926e-05,1220.6796486377716,984.0354156494141,236.63596940040588,0.1383765704161997,0.7908829169020991,0.7697660440313244,0.8756092286235578,0.7238965233167013,5.776842758178894,0.4086071303736884
8,2026-05-08T23:13:08.013914,1.964332474630965e-05,1222.2105066776276,984.2226507663727,237.97965049743652,0.0719172812691739,0.8019924371538345,0.7787995889418098,0.8761844472646536,0.7306949098904928,5.267436814820475,0.47896859716363904
9,2026-05-08T23:33:32.208314,1.953503690480396e-05,1221.7392010688782,984.7745499610901,236.95663213729858,0.019032928829218646,0.8182506888955028,0.79922716565541,0.8791368772793967,0.7260848879814148,5.198360609545643,0.4950851778292174
10,2026-05-08T23:53:57.270545,1.94128176912636e-05,1222.5847713947296,984.916629076004,237.6599235534668,-0.0346004177763837,0.8278940107289723,0.8103417657263978,0.8846112410913718,0.7279062072436014,5.170741691423061,0.5256583230014465
